ANZ Bank Australia Limited
Transaction Account Statement
Customer: James Okonkwo
Account: 01-0232-****7890-00
Period: 1/03/2026 to 31/03/2026

Transaction Date,Transaction Details,Amount,Balance
1/03/2026,OPENING BALANCE,,5632.80
3/03/2026,PAYROLL CREDIT KPMG AUSTRALIA PTY LTD,4200.00,9832.80
4/03/2026,EFTPOS WOOLWORTHS 4892 NEWMARKET QLD,-89.45,9743.35
5/03/2026,DIRECT DEBIT ORIGIN ENERGY 00812345,-167.20,9576.15
6/03/2026,ANZ INTERNET BANKING TRANSFER TO HOME LOAN XXXXXX9012,-2200.00,7376.15
7/03/2026,EFTPOS COLES 2341 INDOOROOPILLY QLD,-112.30,7263.85
8/03/2026,"VISA PURCHASE - UBER EATS 08MAR BRISBANE",-34.80,7229.05
9/03/2026,TAP AND GO CITYTRAINS TRANSLINK QLD,-12.60,7216.45
10/03/2026,EFTPOS BP CONNECT TOOWONG 10/03/26,-58.90,7157.55
11/03/2026,"VISA DEBIT NETFLIX 11MAR XXXX-7890",-22.99,7134.56
12/03/2026,ATM WITHDRAWAL ANZ ATM GARDEN CITY BR,-300.00,6834.56
13/03/2026,EFTPOS MCDONALD'S INDOOROOPILLY QLD 13,-10.95,6823.61
14/03/2026,PAYID RECEIVED FROM RACHEL OKONKWO,250.00,7073.61
15/03/2026,EFTPOS BUNNINGS WAREHOUSE OXLEY QLD 15,-143.60,6930.01
16/03/2026,DIRECT DEBIT BUPA HEALTH 0091234,-183.40,6746.61
17/03/2026,EFTPOS WOOLWORTHS 4892 NEWMARKET QLD,-76.20,6670.41
18/03/2026,"VISA PURCHASE AMAZON AU 18MAR REF K7231",-67.99,6602.42
19/03/2026,EFTPOS ANYTIME FITNESS 0032 TOOWONG,-29.99,6572.43
20/03/2026,EFTPOS CALTEX WOOLLOONGABBA QLD 20MAR,-61.40,6511.03
21/03/2026,"VISA PURCHASE SPOTIFY AU P3KL91",-11.99,6499.04
22/03/2026,INTERNET BANKING TRANSFER TO SAVINGS ANZ XXXX9341,-1000.00,5499.04
23/03/2026,EFTPOS HARVEY NORMAN FORTITUDE VALLEY QLD,-389.00,5110.04
24/03/2026,EFTPOS NANDOS CARINDALE BRISBANE 24MA,-41.20,5068.84
25/03/2026,ATO TAX REFUND 2025,1240.00,6308.84
26/03/2026,EFTPOS PRICELINE 0129 INDOOROOPILLY Q,-34.50,6274.34
27/03/2026,DIRECT DEBIT FOXTEL DIGITAL 0812098,-49.00,6225.34
28/03/2026,EFTPOS IGA TOOWONG VILLAGE QLD 28MAR,-55.10,6170.24
29/03/2026,VISA PURCHASE KOGAN.COM REF 7823KL,-129.00,6041.24
30/03/2026,ANZ ACCOUNT KEEPING FEE,-0.00,6041.24
31/03/2026,CLOSING BALANCE,,6041.24
