GREATER BANK LIMITED
Personal Transaction Account
Account Holder: Michael Chen
Account Number: 637-000 ****2109
Statement Date: 31 March 2026
Period: March 2026

** This file was exported from Greater Bank Online. Some fields may be incomplete. **

Date,Narrative,Amount,Balance
Mar 01 2026,OPENING BAL,,2891.34
Mar 03 2026,PAYROLL EFT GREATER SYDNEY COUNCIL,,6491.34
Mar 04 2026,"EFTPOS 7823 WOOLWORTHS 0029 PENRITH NSW",,6343.91
Mar 05 2026,DDR 000912 REAL ESTATE AGENCY RENT,,4543.91
Mar 06 2026,POS MERITON SERVO PENRITH,6.50,4537.41
Mar 07 2026,"EFTPOS 9812 COLES PENRITH PLAZA NSW",,4461.21
Mar 08 2026,ATM WBC ATM PENRITH WESTFIELD NSW,,4261.21
Mar 09 2026,VISA 4891 NETFLIX,,4238.22
Mar 10 2026,MISC DEBIT,,4213.22
Mar 11 2026,IB TRANSFER TO SAVINGS REF 78123,,3713.22
Mar 12 2026,"POS 0023 KFC PENRITH NSW 12MAR26",,3696.52
Mar 13 2026,PAYID PMT FROM MUM,,3846.52
Mar 14 2026,BPAY AUSGRID ELECTRICITY 00821,,3706.52
Mar 15 2026,EFTPOS 4490 CHEMIST WAREHOUSE PENRIT,,3672.07
Mar 17 2026,"VISA GOOGLE*STORAGE AU 17MAR",,3659.08
Mar 18 2026,EFTPOS PENRITH PANTHERS MEMBERS,,3609.08
Mar 19 2026,DDR SPOTIFY,,3597.09
Mar 20 2026,"EFTPOS 2012 ALDI STORES 0421 PENRITH NSW",,3542.19
Mar 21 2026,CR CASHBACK COMMBANK AWARDS,,3542.19
Mar 22 2026,POS 7812 7ELEVEN PENRITH HWY,,3535.49
Mar 22 2026,???  UNIDENTIFIED TRNSFR REF 00912KX,,3535.49
Mar 23 2026,PURCHASE - REF AUB7182LKP,,3405.49
Mar 24 2026,"EFTPOS 0021 ANYTIME FITNESS PENRITH ",,3375.50
Mar 25 2026,FEE - MONTHLY ACCOUNT,,3370.50
Mar 26 2026,PAYROLL EFT GREATER SYDNEY COUNCIL,,6970.50
Mar 27 2026,"EFTPOS 7823 WOOLWORTHS 0029 PENRITH NSW",,6825.70
Mar 28 2026,IB TFR TO HOME LOAN ACCT 637000 2918,,5825.70
Mar 29 2026,BPAY OPTUS MOBILE ACCT 781230,,5745.70
Mar 30 2026,VISA AMAZON AU,,5680.71
Mar 31 2026,CLOSING BAL,,5680.71
