HSBC Trinkaus & Burkhardt AG
Kontoauszug / Account Statement
Kontoinhaber / Account Holder: Lukas Bauer
Kontonummer / Account No: DE89 3704 0044 ****2200 25
IBAN: DE89370400440532013000
Zeitraum / Period: 01.03.2026 - 31.03.2026
Eröffnungssaldo / Opening Balance: 3.812,50 EUR

Buchungsdatum;Wertstellung;Verwendungszweck;Betrag;Saldo
01.03.2026;01.03.2026;Eröffnungssaldo;;3.812,50
03.03.2026;03.03.2026;Gehalt März 2026 Siemens AG München;3.850,00;7.662,50
04.03.2026;04.03.2026;Lastschrift REWE MARKT GMBH 0049-DE;-134,20;7.528,30
05.03.2026;05.03.2026;Dauerauftrag Miete März 2026;-1.200,00;6.328,30
06.03.2026;06.03.2026;EDEKA ZENTRALE AG HAMBURG;-67,45;6.260,85
07.03.2026;07.03.2026;POS 7821 ARAL TANKSTELLE MÜNCHEN;-78,90;6.181,95
08.03.2026;08.03.2026;Netflix International BV;-17,99;6.163,96
09.03.2026;09.03.2026;Überweisung Sparkasse 70050101 Eigenkonto;-500,00;5.663,96
10.03.2026;10.03.2026;STROM STADTWERKE MÜNCHEN GmbH März;-89,00;5.574,96
11.03.2026;11.03.2026;POS KAUFLAND MÜNCHEN SCHWABING;-112,34;5.462,62
12.03.2026;12.03.2026;AMAZON EU SARL LU BESTELLUNG 123DE;-234,99;5.227,63
13.03.2026;13.03.2026;DB BAHN FERNVERKEHR AG ICE TICKET;-129,00;5.098,63
14.03.2026;14.03.2026;Spotify AB SE MONATSBEITRAG;-9,99;5.088,64
15.03.2026;15.03.2026;MVV MÜNCHNER VERKEHRSGESELL MONATSKARTE;-57,80;5.030,84
16.03.2026;16.03.2026;ROSSMANN DROGERIEMARKT 4512;-43,20;4.987,64
17.03.2026;17.03.2026;PayPal Zahlung eBay XXXX0019;-67,50;4.920,14
18.03.2026;18.03.2026;Rückerstattung Zalando SE RETOURE;89,99;5.010,13
19.03.2026;19.03.2026;GLOBUS SB-WARENHAUS MÜNCHEN;-98,70;4.911,43
20.03.2026;20.03.2026;FITNESSSTUDIO MCFIT MÜNCHEN MITTE;-29,90;4.881,53
21.03.2026;21.03.2026;Rundfunkbeitrag ARD ZDF 1.QUARTAL;-55,08;4.826,45
22.03.2026;22.03.2026;POS APOTHEKE AM MARIENPLATZ;-34,50;4.791,95
23.03.2026;23.03.2026;LIDL MÜNCHEN OSTBAHNHOF;-56,80;4.735,15
24.03.2026;24.03.2026;GOOGLE *CLOUD SERVICES EU;-12,99;4.722,16
25.03.2026;25.03.2026;Überweisung Kindergarten Stadtmitte April;-280,00;4.442,16
26.03.2026;26.03.2026;PENNY MARKT MÜNCHEN 0913;-44,30;4.397,86
27.03.2026;27.03.2026;KONTOFÜHRUNGSGEBÜHR MÄRZ 2026;-4,90;4.392,96
28.03.2026;28.03.2026;Gutschrift Freelance Projekt Weber GmbH;850,00;5.242,96
29.03.2026;29.03.2026;REWE MARKT SCHWABING MÜNCHEN;-89,40;5.153,56
30.03.2026;30.03.2026;Abhebung Geldautomat HypoVereinsbank;-200,00;4.953,56
31.03.2026;31.03.2026;Abschlusssaldo;;4.953,56
