Westpac Banking Corporation
Account Statement
Account Name: Sarah Mitchell
BSB: 032-088   Account: ****4521
Statement Period: 01/03/2026 to 31/03/2026
Opening Balance: $4218.45

Date,Description,Debit,Credit,Balance
01/03/2026,Opening Balance,,,4218.45
03/03/2026,SALARY CR DELOITTE AUSTRALIA PAYROLL 03MAR,,3600.00,7818.45
04/03/2026,EFTPOS 8834 COLES SUPERSTORE DONCASTER VIC,127.43,,7690.02
05/03/2026,"DDR REAL INSURANCE PTY LTD 1800302302",89.50,,7600.52
06/03/2026,EFTPOS 2291 WOOLWORTHS METRO BOURKE ST MEL,54.20,,7546.32
07/03/2026,INTERNET PAYMENT - RENT MARCH 2026,1800.00,,5746.32
08/03/2026,BPAY TELSTRA CORP LTD 432901887,89.00,,5657.32
09/03/2026,"VISA PURCHASE NETFLIX.COM 13MAR AU",22.99,,5634.33
10/03/2026,EFTPOS 5521 BP SOUTHLAND CHELTENHAM VIC,78.34,,5556.00
11/03/2026,ATM WESTPAC 288 BOURKE ST MELBOURNE,200.00,,5356.00
12/03/2026,EFTPOS 9901 MCDONALD'S PRAHRAN 12MAR VIC,14.50,,5341.50
13/03/2026,PURCHASE SPOTIFY AU P36GH22 MARCH,11.99,,5329.51
14/03/2026,EFTPOS 4412 NANDOS SOUTH YARRA VIC 14MA,38.90,,5290.61
15/03/2026,EFTPOS 2201 COLES EXPRESS TOORAK RD SY,62.11,,5228.50
17/03/2026,BPAY AGL ENERGY 7823901 REF 3829012,145.00,,5083.50
18/03/2026,EFTPOS 0091 ANYTIME FITNESS RICHMOND VI,15.00,,5068.50
19/03/2026,TFR TO SAVINGS ACCOUNT 032088 78902341,500.00,,4568.50
20/03/2026,"VISA PURCHASE UBER* TRIP 20MAR SYDNEY",22.40,,4546.10
21/03/2026,EFTPOS 3312 CHEMIST WAREHOUSE CHAPEL ST,43.65,,4502.45
22/03/2026,EFTPOS 7712 WOOLWORTHS 1786 RICHMOND VIC,96.30,,4406.15
23/03/2026,PURCHASE AMAZON.COM.AU REF AU7823K,234.00,,4172.15
24/03/2026,"DIRECT DEBIT BUPA HEALTH INS 7123 0981",210.50,,3961.65
25/03/2026,EFTPOS 8823 GLORIA JEANS COFFEE RICHMO,6.50,,3955.15
26/03/2026,EFTPOS 9901 TARGET CHADSTONE SHOPPING,67.80,,3887.35
27/03/2026,SALARY ADV CR DELOITTE AUSTRALIA,,200.00,4087.35
28/03/2026,PURCHASE CANVA PTY LTD AU 16YH33,17.99,,4069.36
29/03/2026,EFTPOS 2288 IGA SUPERMARKET MALVERN EA,41.20,,4028.16
30/03/2026,WESTPAC ACCOUNT FEE MARCH 2026,5.00,,4023.16
31/03/2026,EFTPOS 1123 PRICELINE PHARMACY CHAPEL,28.90,,3994.26
31/03/2026,Closing Balance,,,3994.26
