Commonwealth Bank of Australia
NetBank Account History Export
Account Owner:	Priya Sharma
Account:	06 2000 ****3890
Period:	2026-01-01 to 2026-03-31
Currency:	AUD

Transaction Date	Value Date	Description	Debit (DR)	Credit (CR)	Balance
2026-01-01	2026-01-01	OPENING BALANCE			12500.00
2026-01-03	2026-01-03	SALARY - DEPT OF HEALTH VIC PAY CYC JAN	 	4500.00CR	17000.00
2026-01-05	2026-01-05	EFTPOS WW METRO 3928 SOUTHBANK VIC	(145.30)		16854.70
2026-01-06	2026-01-06	BPAY YARRA VALLEY WATER 9201883	(112.00)		16742.70
2026-01-07	2026-01-07	LEASE PMT LANDLORD T/A REAL EST JAN26	(2100.00)		14642.70
2026-01-08	2026-01-08	EFTPOS MYER BOURKE ST MALL CITY VIC	(234.50)		14408.20
2026-01-10	2026-01-10	TFR TO ACCT 06 2000 9821 SAVINGS JAN	(1000.00)		13408.20
2026-01-12	2026-01-12	VISA RECURRING NETFLIX.COM/AU 12JAN	(22.99)		13385.21
2026-01-13	2026-01-13	ATM CBA 201 ELIZABETH ST CBD MEL VIC	(400.00)		12985.21
2026-01-14	2026-01-14	EFTPOS COLES 0928 SOUTH WHARF VIC	(87.60)		12897.61
2026-01-15	2026-01-15	EFTPOS CHEMIST WAREHOUSE SOUTHBANK V	(67.20)		12830.41
2026-01-17	2026-01-17	PAYID REC FROM AISHA PATEL REF DINNER	150.00CR	12980.41
2026-01-18	2026-01-18	BPAY AGL ENERGY SERVICES 001234987	(198.40)		12782.01
2026-01-20	2026-01-20	EFTPOS WOOLWORTHS 3921 DOCKLANDS VIC	(102.30)		12679.71
2026-01-22	2026-01-22	VISA PURCHASE UBER TECHNOLOGIES 22JAN	(19.80)		12659.91
2026-01-23	2026-01-23	EFTPOS HOYTS CINEMAS MELBOURNE CENT	(36.00)		12623.91
2026-01-25	2026-01-25	VISA PURCHASE DOORDASH AU 25JAN2026	(42.50)		12581.41
2026-01-26	2026-01-26	DDR MEDIABANK HEALTH FUND 0092123	(210.00)		12371.41
2026-01-28	2026-01-28	EFTPOS OFFICEWORKS SOUTH MELBOURNE	(89.99)		12281.42
2026-01-30	2026-01-30	MONTHLY ACCOUNT FEE	(4.00)		12277.42
2026-02-01	2026-02-01	EFTPOS COLES 0928 SOUTH WHARF VIC	(94.10)		12183.32
2026-02-03	2026-02-03	SALARY - DEPT OF HEALTH VIC PAY CYC FEB		4500.00CR	16683.32
2026-02-05	2026-02-05	EFTPOS WOOLWORTHS 3921 DOCKLANDS VIC	(115.60)		16567.72
2026-02-07	2026-02-07	LEASE PMT LANDLORD T/A REAL EST FEB26	(2100.00)		14467.72
2026-02-08	2026-02-08	BPAY YARRA VALLEY WATER 9201883	(98.00)		14369.72
2026-02-10	2026-02-10	TFR TO ACCT 06 2000 9821 SAVINGS FEB	(1000.00)		13369.72
2026-02-12	2026-02-12	VISA RECURRING SPOTIFY P8KL22 12FEB	(11.99)		13357.73
2026-02-14	2026-02-14	EFTPOS READINGS BOOKSHOP CARLTON VIC	(45.00)		13312.73
2026-02-15	2026-02-15	VISA PURCHASE AMAZON.COM.AU REF K9012	(167.00)		13145.73
2026-02-17	2026-02-17	EFTPOS MELBOURNE ZOO PARKVILLE VIC	(72.00)		13073.73
2026-02-18	2026-02-18	BPAY AGL ENERGY SERVICES 001234987	(189.50)		12884.23
2026-02-20	2026-02-20	EFTPOS COLES 0928 SOUTH WHARF VIC	(88.90)		12795.33
2026-02-22	2026-02-22	VISA PURCHASE UBER EATS 22FEB AU	(35.40)		12759.93
2026-02-24	2026-02-24	DDR MEDIABANK HEALTH FUND 0092123	(210.00)		12549.93
2026-02-25	2026-02-25	EFTPOS JB HIFI SOUTHERN CROSS STATI	(299.00)		12250.93
2026-02-26	2026-02-26	PAYID GOVERNMENT CHILDCARE SUBSIDY		1100.00CR	13350.93
2026-02-28	2026-02-28	MONTHLY ACCOUNT FEE	(4.00)		13346.93
2026-03-01	2026-03-01	EFTPOS WOOLWORTHS 3921 DOCKLANDS VIC	(121.30)		13225.63
2026-03-03	2026-03-03	SALARY - DEPT OF HEALTH VIC PAY CYC MAR		4500.00CR	17725.63
2026-03-05	2026-03-05	EFTPOS COLES 0928 SOUTH WHARF VIC	(97.80)		17627.83
2026-03-07	2026-03-07	LEASE PMT LANDLORD T/A REAL EST MAR26	(2100.00)		15527.83
2026-03-10	2026-03-10	TFR TO ACCT 06 2000 9821 SAVINGS MAR	(1500.00)		14027.83
2026-03-12	2026-03-12	VISA RECURRING NETFLIX.COM/AU 12MAR	(22.99)		14004.84
2026-03-15	2026-03-15	BPAY AGL ENERGY SERVICES 001234987	(201.00)		13803.84
2026-03-18	2026-03-18	EFTPOS COLES 0928 SOUTH WHARF VIC	(88.40)		13715.44
2026-03-20	2026-03-20	EFTPOS IKEA RICHMOND VICTORIA	(345.00)		13370.44
2026-03-22	2026-03-22	VISA PURCHASE DOORDASH AU 22MAR2026	(29.90)		13340.54
2026-03-24	2026-03-24	DDR MEDIABANK HEALTH FUND 0092123	(210.00)		13130.54
2026-03-26	2026-03-26	PAYID GOVERNMENT CHILDCARE SUBSIDY		1100.00CR	14230.54
2026-03-28	2026-03-28	EFTPOS WOOLWORTHS 3921 DOCKLANDS VIC	(93.60)		14136.94
2026-03-30	2026-03-30	MONTHLY ACCOUNT FEE	(4.00)		14132.94
2026-03-31	2026-03-31	CLOSING BALANCE			14132.94
